index,总数,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
556,170784,145.5,18381,中国铁建北湖国际城一期,成华,3室2厅1厨1卫,高楼层 (共42层),79.16㎡,平层,板塔结合,西北,钢混结构,精装,两梯六户,有,2022,6,5
557,170784,174.0,21455,水岸格林,青羊,3室2厅1厨1卫,中楼层 (共6层),81.1㎡,平层,板楼,西南,混合结构,简装,一梯四户,无,2022,6,9
558,170784,135.0,11595,南丽湾,双流,3室2厅1厨2卫,中楼层 (共6层),116.43㎡,平层,板楼,南,混合结构,简装,一梯两户,无,2022,6,3
559,170784,95.0,8925,世纪光华,温江,3室2厅1厨2卫,高楼层 (共18层),106.45㎡,平层,板塔结合,西,钢混结构,简装,两梯六户,有,2022,6,16
560,170784,166.0,17005,雅居乐剑桥郡,天府新区,3室2厅1厨2卫,高楼层 (共33层),97.62㎡,平层,板塔结合,南,钢混结构,精装,一梯四户,暂无数据,2022,6,16
561,170784,160.0,17523,碧桂园悦府,双流,3室2厅1厨2卫,低楼层 (共13层),91.31㎡,平层,塔楼,东,钢混结构,精装,一梯六户,暂无数据,2022,6,14
562,170784,105.0,12160,中铁西郡英华三期,郫都,3室2厅1厨1卫,高楼层 (共22层),86.35㎡,平层,板塔结合,西,钢混结构,精装,两梯六户,有,2022,6,11
563,170784,125.0,14276,盛世名城,新都,4室2厅1厨1卫,低楼层 (共21层),87.56㎡,平层,塔楼,南,框架结构,精装,两梯四户,有,2022,6,15
564,170784,234.0,21072,远大中央公园一期,天府新区,3室2厅1厨2卫,低楼层 (共33层),111.05㎡,平层,板塔结合,南,钢混结构,精装,三梯六户,有,2022,6,16
565,170784,123.0,13027,金府世家,金牛,3室1厅1厨1卫,低楼层 (共17层),94.42㎡,平层,板楼,南,框架结构,简装,两梯四户,有,2022,6,17
566,170784,90.0,6618,明星花苑,龙泉驿,3室2厅1厨2卫,高楼层 (共6层),136㎡,跃层,板楼,东南,框架结构,精装,一梯两户,无,2022,6,7
567,170784,119.0,15459,洲际春天广场,温江,3室2厅1厨1卫,中楼层 (共32层),76.98㎡,平层,板塔结合,西南 西,钢混结构,简装,两梯六户,有,2022,6,10
568,170784,220.0,20177,红树湾,高新,3室1厅1厨2卫,高楼层 (共34层),109.04㎡,平层,板塔结合,西南,钢混结构,简装,两梯四户,有,2022,6,16
569,170784,275.0,21081,恒大天府半岛二期,天府新区,3室1厅1厨2卫,中楼层 (共33层),130.45㎡,平层,板楼,南 北,钢混结构,精装,两梯五户,有,2022,6,9
570,170784,138.0,13756,傲城,郫都,3室1厅1厨2卫,高楼层 (共31层),100.32㎡,平层,板塔结合,西南,钢混结构,精装,两梯六户,有,2022,6,5
571,170784,1020.0,55154,成都文儒德,高新,4室2厅1厨2卫,低楼层 (共26层),184.94㎡,平层,板楼,西,钢混结构,精装,两梯两户,有,2022,6,10
572,170784,112.0,12895,万景峰一期,高新西,3室1厅1厨1卫,中楼层 (共33层),86.86㎡,平层,板塔结合,南,钢混结构,精装,两梯六户,有,2022,6,5
573,170784,137.0,11182,交大万嘉季柳园,郫都,3室2厅1厨2卫,低楼层 (共26层),122.52㎡,平层,板塔结合,西南,框架结构,精装,两梯五户,有,2022,6,17
574,170784,365.0,26874,光华锦苑,青羊,3室2厅1厨2卫,中楼层 (共21层),135.82㎡,平层,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,2022,6,7
575,170784,220.0,23903,海伦春天,天府新区,3室2厅1厨1卫,高楼层 (共40层),92.04㎡,平层,板塔结合,北,钢混结构,精装,两梯五户,有,2022,6,13
576,170784,265.0,30053,华熙528艺术村锦都,锦江,3室2厅1厨1卫,中楼层 (共28层),88.18㎡,平层,塔楼,西南,钢混结构,精装,三梯五户,有,2022,6,16
