index,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
21,140.0,10938,国光山水半岛,新津,3室2厅1厨2卫,低楼层 (共5层),128㎡,暂无数据,暂无数据,东南,未知结构,其他,一梯两户,暂无数据,2022,7,8
17,500.0,24045,世茂云湖,简阳,5室2厅1厨3卫,低楼层 (共3层),207.95㎡,暂无数据,暂无数据,东南 西南,未知结构,其他,一梯一户,暂无数据,2022,7,8
54,435.0,31653,御龙山二期,成华,4室2厅1厨2卫,中楼层 (共38层),137.43㎡,暂无数据,板塔结合,东南,钢混结构,精装,四梯六户,有,2022,7,8
14,95.0,9511,金强大学城,温江,3室2厅1厨1卫,高楼层 (共18层),99.89㎡,平层,板塔结合,西北,钢混结构,其他,两梯四户,有,2022,7,8
10,165.0,13415,花样年·香门第北区,郫都,4室1厅1厨2卫,高楼层 (共34层),123㎡,暂无数据,塔楼,东南,钢混结构,其他,两梯四户,有,2022,7,8
43,176.0,20000,北大资源燕楠国际,双流,3室2厅1厨2卫,中楼层 (共13层),88㎡,暂无数据,板塔结合,东,钢混结构,其他,两梯六户,有,2022,7,8
72,600.0,43957,麓湖生态城水晶溪岸,天府新区,4室1厅1厨2卫,中楼层 (共27层),136.5㎡,平层,板塔结合,西,钢混结构,其他,三梯六户,有,2022,7,8
97,160.0,18182,红枫岭二期,成华,2室2厅1厨2卫,中楼层 (共33层),88㎡,暂无数据,板塔结合,东南,框架结构,其他,三梯六户,有,2022,7,8
98,118.0,10536,南丽湾,双流,3室2厅1厨2卫,低楼层 (共6层),112㎡,暂无数据,板楼,东,混合结构,简装,一梯两户,无,2022,7,8
35,190.0,14130,保利拉斐云邸,新都,4室2厅1厨2卫,高楼层 (共32层),134.47㎡,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,2022,7,8
108,346.0,21969,圣安卓花园,高新,3室1厅1厨2卫,高楼层 (共11层),157.5㎡,平层,板楼,东北,框架结构,精装,一梯两户,有,2022,7,8
84,251.0,15932,龙湖双珑原著,新津,3室2厅1厨3卫,低楼层 (共4层),157.55㎡,暂无数据,暂无数据,东南,未知结构,其他,一梯两户,暂无数据,2022,7,8
93,290.0,21472,保利天汇,金牛,4室2厅1厨2卫,低楼层 (共30层),135.06㎡,暂无数据,板楼,东南,框架结构,精装,两梯四户,有,2022,7,8
105,140.0,13320,银诚东方国际一期,龙泉驿,3室1厅1厨2卫,低楼层 (共34层),105.11㎡,平层,板楼,东,钢混结构,其他,两梯四户,有,2022,7,8
12,107.0,15801,金科一城,成华,2室2厅1厨1卫,高楼层 (共20层),67.72㎡,平层,塔楼,东北,钢混结构,精装,两梯六户,有,2022,7,8
81,65.0,10865,香榭国际三期,高新,2室1厅1厨1卫,高楼层 (共33层),59.83㎡,暂无数据,板塔结合,东南,钢混结构,精装,四梯十九户,有,2022,7,8
96,446.0,30077,凯丽滨江花园,高新,3室1厅1厨2卫,中楼层 (共33层),148.29㎡,暂无数据,塔楼,南 北,框架结构,其他,两梯四户,有,2022,7,8
61,140.0,22223,富丽碧蔓汀,金牛,2室1厅1厨1卫,中楼层 (共26层),63㎡,暂无数据,板楼,东南,钢混结构,其他,两梯六户,有,2022,7,8
16,70.0,12947,长寿苑,武侯,1室1厅1厨1卫,低楼层 (共7层),54.07㎡,平层,板塔结合,南,混合结构,其他,一梯两户,无,2022,7,8
47,98.0,11979,长天路10号社区,成华,3室2厅1厨1卫,低楼层 (共7层),81.81㎡,暂无数据,板塔结合,南,混合结构,简装,一梯三户,无,2022,7,8
31,200.0,21053,蓝光圣菲悦城一期,双流,3室2厅0厨0卫,高楼层 (共22层),95㎡,暂无数据,板塔结合,南 西南,框架结构,精装,两梯六户,有,2022,7,8
106,275.0,18572,蓝谷地一二期,锦江,3室2厅1厨2卫,中楼层 (共11层),148.08㎡,暂无数据,板楼,东南,框架结构,其他,一梯两户,有,2022,7,8
11,46.0,6990,何公路69号,郫都,2室1厅1厨1卫,中楼层 (共6层),65.81㎡,暂无数据,暂无数据,东南,未知结构,简装,一梯两户,暂无数据,2022,7,8
