index,总数,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
6148,5521.0,88.0,11859.0,向龙小区,成华,2室1厅1厨1卫,高楼层 (共6层),74.21㎡,暂无数据,板塔结合,西南,钢混结构,简装,两梯两户,有,2022,7,5.0
6489,5520.0,270.0,21698.0,南湖国际社区,天府新区,3室1厅1厨2卫,高楼层 (共34层),124.44㎡,平层,板塔结合,西,钢混结构,其他,三梯四户,有,2022,7,5.0
6619,5522.0,91.0,14678.0,金罗路1号,金牛,3室1厅1厨1卫,中楼层 (共6层),62㎡,暂无数据,板楼,东南,砖混结构,简装,一梯两户,暂无数据,2022,7,4.0
6694,5523.0,260.0,23112.0,心灵家园,青羊,3室1厅1厨1卫,低楼层 (共20层),112.5㎡,平层,塔楼,北,框架结构,精装,两梯五户,有,2022,7,4.0
8400,5535.0,80.0,15522.0,和贵久居福,双流,2室1厅1厨1卫,低楼层 (共18层),51.54㎡,平层,塔楼,北,钢混结构,精装,两梯七户,有,2022,7,2.0
9109,171502.0,90.0,8926.0,蜀都新天地,郫都,4室2厅1厨1卫,低楼层 (共27层),100.84㎡,平层,塔楼,东南,框架结构,精装,两梯六户,有,2022,7,6.0
9136,171501.0,112.0,9350.0,恒昌贵筑,彭州,3室1厅1厨1卫,低楼层 (共23层),119.79㎡,暂无数据,塔楼,南,钢混结构,其他,两梯五户,有,2022,7,6.0
8817,5586.0,95.0,8177.0,八二一小区,新都,3室2厅1厨1卫,低楼层 (共18层),116.18㎡,暂无数据,塔楼,东南,框架结构,简装,一梯四户,无,2022,7,6.0
8837,5586.0,112.0,23184.0,戛纳湾滨江,天府新区,1室1厅1厨1卫,低楼层 (共32层),48.31㎡,暂无数据,塔楼,西,框架结构,精装,四梯二十二户,有,2022,7,6.0
10202,5607.0,68.0,9660.0,公元西,青羊,2室1厅1厨1卫,高楼层 (共33层),70.4㎡,暂无数据,板楼,南,框架结构,毛坯,四梯十六户,有,2022,7,4.0
10388,5609.0,108.0,11682.0,华侨凤凰国际城,郫都,3室2厅1厨1卫,低楼层 (共33层),92.45㎡,平层,板楼,西北,钢混结构,精装,两梯四户,有,2022,7,4.0
11003,5609.0,515.0,35066.0,人居盛和林语北区,高新,4室2厅1厨2卫,高楼层 (共31层),146.87㎡,暂无数据,板塔结合,北,钢混结构,简装,两梯四户,有,2022,7,3.0
11166,5609.0,42.0,3819.0,东湖五巷155号,彭州,3室2厅1厨2卫,中楼层 (共5层),110㎡,错层,暂无数据,东 西,未知结构,简装,一梯两户,暂无数据,2022,7,3.0
10112,5553.0,15.0,4243.0,外南街91号,新都,1室1厅1厨1卫,中楼层 (共6层),35.36㎡,暂无数据,暂无数据,南,未知结构,其他,一梯十二户,暂无数据,2022,7,8.0
10524,5554.0,118.0,25963.0,荣盛花语城,青羊,2室1厅1厨1卫,中楼层 (共20层),45.45㎡,暂无数据,塔楼,西南,钢混结构,精装,三梯八户,有,2022,7,7.0
11056,5551.0,160.0,16317.0,锦西民宅,青羊,2室1厅1厨1卫,高楼层 (共6层),98.06㎡,平层,板楼,南,混合结构,简装,一梯三户,无,2022,7,6.0
11582,5555.0,32.0,9832.0,钢管厂五区,锦江,1室1厅1厨1卫,高楼层 (共6层),32.55㎡,平层,板楼,南,砖混结构,简装,一梯十户,无,2022,7,5.0
13038,172401.0,255.0,26101.0,金地天府城,高新,3室1厅1厨2卫,高楼层 (共31层),97.7㎡,平层,板塔结合,南,钢混结构,精装,三梯六户,有,2022,7,8.0
13082,172401.0,99.0,16440.0,清江东路120号,金牛,2室2厅1厨1卫,低楼层 (共7层),60.22㎡,暂无数据,板楼,南,混合结构,其他,一梯两户,无,2022,7,8.0
45,170777.0,125.0,10024.0,晓初公寓(高新),高新,3室2厅1厨2卫,低楼层 (共7层),124.71㎡,平层,板楼,北,砖混结构,简装,一梯两户,无,2022,6,19.0
87,170777.0,165.0,18069.0,格林君典,高新,2室1厅1厨1卫,中楼层 (共11层),91.32㎡,平层,板塔结合,南 西南,钢混结构,简装,一梯四户,有,2022,6,27.0
92,170777.0,288.0,20315.0,比华利国际城一期,锦江,3室2厅1厨2卫,中楼层 (共26层),141.77㎡,平层,塔楼,南,钢混结构,精装,两梯四户,有,2022,6,22.0
101,170777.0,78.0,11925.0,中铁西郡英华三期,郫都,2室1厅1厨1卫,高楼层 (共22层),65.41㎡,平层,板塔结合,东南,钢混结构,精装,两梯六户,有,2022,6,29.0
122,170777.0,428.0,28462.0,金沙西园四期,青羊,4室1厅1厨2卫,低楼层 (共26层),150.38㎡,平层,塔楼,南 北,框架结构,精装,两梯四户,有,2022,6,27.0
927,170789.0,167.0,21177.0,华府双楠,武侯,2室1厅1厨1卫,高楼层 (共16层),78.86㎡,平层,塔楼,东,钢混结构,精装,三梯十一户,有,2022,6,26.0
1198,170790.0,176.0,16090.0,蓝光圣菲town城,双流,3室2厅1厨2卫,中楼层 (共22层),109.39㎡,平层,板塔结合,西北,钢混结构,精装,两梯六户,有,2022,3,19.0
1224,170790.0,135.0,14706.0,龙湖弗莱明戈一期,郫都,3室2厅1厨2卫,高楼层 (共34层),91.8㎡,平层,塔楼,西南,框架结构,精装,三梯六户,有,2022,5,23.0
1656,170792.0,182.0,23277.0,宏达世纪锦城,天府新区,2室1厅1厨1卫,中楼层 (共32层),78.19㎡,平层,板塔结合,西南,钢混结构,精装,三梯六户,有,2022,6,22.0
2473,170781.0,640.0,44138.0,保利心语花园二期,高新,5室2厅1厨2卫,中楼层 (共32层),145㎡,跃层,板塔结合,南,钢混结构,精装,两梯四户,有,2022,3,1.0
2488,170781.0,165.0,20241.0,正成城市乐章,武侯,3室2厅1厨1卫,高楼层 (共22层),81.52㎡,平层,板楼,南,钢混结构,精装,两梯五户,有,2022,5,1.0
5924,170872.0,265.0,26332.0,中海锦江城云熙二期,天府新区,3室2厅1厨2卫,低楼层 (共50层),100.64㎡,平层,塔楼,南,钢混结构,精装,三梯六户,有,2022,6,4.0
6053,170753.0,116.6,13705.0,万景峰一期,高新西,3室2厅1厨2卫,高楼层 (共33层),85.08㎡,平层,板塔结合,东南,钢混结构,精装,两梯六户,有,2022,7,1.0
8718,170810.0,75.0,10015.0,交大智能六期,金牛,2室1厅1厨1卫,中楼层 (共7层),74.89㎡,平层,板楼,东,混合结构,简装,一梯九户,无,2021,2,17.0
8920,170807.0,339.0,26059.0,北辰南湖香麓,天府新区,4室2厅1厨2卫,中楼层 (共32层),130.09㎡,平层,板塔结合,东南,钢混结构,精装,两梯四户,有,2022,6,5.0
9353,171098.0,154.0,11659.0,格兰玺城,龙泉驿,4室1厅1厨2卫,中楼层 (共26层),132.09㎡,平层,板塔结合,东南,钢混结构,精装,两梯六户,有,2022,6,28.0
9803,171090.0,138.8,20563.0,双槐树街90号,锦江,2室1厅1厨1卫,高楼层 (共7层),67.5㎡,平层,板楼,东南,钢混结构,简装,一梯两户,无,2022,6,29.0
10166,171120.0,65.0,15284.0,西华家园,青羊,1室1厅1厨1卫,低楼层 (共6层),42.53㎡,平层,板楼,南,混合结构,其他,一梯四户,无,2022,6,29.0
